date,ticker,open,high,low,close,volume
2025-01-06,BBRI,4180.000,4180.000,4100.000,4100.000,153048700
2025-01-07,BBRI,4080.000,4090.000,4030.000,4030.000,171997400
2025-01-08,BBRI,4030.000,4100.000,4030.000,4080.000,133655700
2025-01-09,BBRI,4070.000,4100.000,4030.000,4030.000,99300400
2025-01-10,BBRI,4030.000,4060.000,4010.000,4010.000,132774300
2025-01-13,BBRI,3990.000,3990.000,3850.000,3850.000,413408100
2025-01-14,BBRI,3820.000,3920.000,3800.000,3800.000,293621700
2025-01-15,BBRI,3840.000,4090.000,3840.000,4090.000,407813500
2025-01-16,BBRI,4210.000,4240.000,4130.000,4160.000,349387500
2025-01-17,BBRI,4150.000,4190.000,4080.000,4090.000,268758600
2025-01-20,BBRI,4130.000,4220.000,4130.000,4220.000,167348600
2025-01-21,BBRI,4270.000,4380.000,4250.000,4260.000,345223800
2025-01-22,BBRI,4310.000,4320.000,4230.000,4260.000,193218900
2025-01-23,BBRI,4260.000,4340.000,4260.000,4300.000,216018100
2025-01-24,BBRI,4350.000,4350.000,4190.000,4190.000,276421900
2025-01-30,BBRI,4130.000,4170.000,4090.000,4120.000,220222400
2025-01-31,BBRI,4170.000,4280.000,4150.000,4220.000,192622700
2025-02-03,BBRI,4200.000,4270.000,4150.000,4250.000,220285800
2025-02-04,BBRI,4260.000,4300.000,4200.000,4260.000,231917500
2025-02-05,BBRI,4250.000,4250.000,4140.000,4140.000,209834400
2025-02-06,BBRI,4120.000,4160.000,3940.000,3970.000,378545500
2025-02-07,BBRI,3970.000,4030.000,3940.000,4030.000,259636200
2025-02-10,BBRI,4000.000,4050.000,3950.000,3970.000,201999400
2025-02-11,BBRI,3970.000,4040.000,3900.000,4010.000,276382800
2025-02-12,BBRI,3960.000,4060.000,3950.000,4030.000,362571900
2025-02-13,BBRI,4000.000,4030.000,3960.000,3990.000,341640600
2025-02-14,BBRI,4000.000,4010.000,3850.000,3860.000,524909600
2025-02-17,BBRI,3870.000,4030.000,3870.000,4030.000,265737100
2025-02-18,BBRI,4030.000,4180.000,4030.000,4150.000,374350700
